Region,Estimated Unemployment Rate (%)
Telangana,7.29
Telangana,6.47
Telangana,1.35
Telangana,5.02
Telangana,9.02
Telangana,5.63
Telangana,4.51
Telangana,34.01
Telangana,19.3
Tripura,29.25
Tripura,26.64
Tripura,22.47
Tripura,25.49
Tripura,30.23
Tripura,27.54
Tripura,25.25
Tripura,26.53
Tripura,31.91
Tripura,26.22
Tripura,31.61
Tripura,43.64
Tripura,14.71
Tripura,18.84
Uttar Pradesh,10.26
Uttar Pradesh,11.13
Uttar Pradesh,9.19
Uttar Pradesh,11.47
Uttar Pradesh,6.45
Uttar Pradesh,10.18
Uttar Pradesh,6.94
Uttar Pradesh,8.43
Uttar Pradesh,6.06
Uttar Pradesh,8.12
Uttar Pradesh,9.37
Uttar Pradesh,19.92
Uttar Pradesh,16.89
Uttar Pradesh,8.51
Uttarakhand,1.63
Uttarakhand,4.65
Uttarakhand,5.74
Uttarakhand,6.11
Uttarakhand,3.47
Uttarakhand,4.83
Uttarakhand,5.56
Uttarakhand,4.52
Uttarakhand,4.17
Uttarakhand,4.85
Uttarakhand,3.66
Uttarakhand,3.57
Uttarakhand,10.71
West Bengal,6.02
West Bengal,5.85
West Bengal,5.62
West Bengal,5.58
West Bengal,5.26
West Bengal,6.78
West Bengal,5.83
West Bengal,5.79
West Bengal,6.79
West Bengal,3.78
West Bengal,7.02
West Bengal,18.32
West Bengal,18.43
West Bengal,4.94
Andhra Pradesh,6.09
Andhra Pradesh,3.8
Andhra Pradesh,5.64
Andhra Pradesh,4.61
Andhra Pradesh,6.01
Andhra Pradesh,4.7
Andhra Pradesh,7.54
Andhra Pradesh,7.88
Andhra Pradesh,7.11
Andhra Pradesh,5.66
Andhra Pradesh,9.88
Andhra Pradesh,32.3
Andhra Pradesh,24.91
Andhra Pradesh,5.86
Assam,7.87
Assam,9.89
Assam,3.21
Assam,10.39
Assam,9.26
Assam,11.17
Assam,6.31
Assam,5.02
Assam,7.24
Assam,9.98
Assam,10.34
Assam,8.37
Assam,10.77
Assam,3.42
Bihar,19.9
Bihar,13.29
Bihar,16.41
Bihar,17.66
Bihar,20.46
Bihar,14.06
Bihar,17.62
Bihar,14.91
Bihar,20.69
Bihar,15.11
Bihar,15.73
Bihar,58.77
Bihar,37.87
Bihar,12.45
Chandigarh,18.35
Chandigarh,12.4
Chandigarh,21.8
Chandigarh,9.52
Chandigarh,20.14
Chandigarh,13.99
Chandigarh,22.05
Chandigarh,8.33
Chandigarh,20.0
Chandigarh,16.67
Chandigarh,21.43
Chandigarh,7.22
Chhattisgarh,9.77
Chhattisgarh,11.77
Chhattisgarh,8.17
Chhattisgarh,6.29
Chhattisgarh,9.46
Chhattisgarh,10.27
Chhattisgarh,8.32
Chhattisgarh,3.57
Chhattisgarh,9.01
Chhattisgarh,9.79
Chhattisgarh,8.21
Chhattisgarh,20.13
Chhattisgarh,24.1
Chhattisgarh,27.07
Delhi,12.31
Delhi,12.76
Delhi,14.68
Delhi,13.52
Delhi,20.59
Delhi,12.41
Delhi,16.11
Delhi,11.07
Delhi,22.45
Delhi,14.86
Delhi,17.09
Delhi,16.51
Delhi,45.78
Delhi,18.11
Goa,2.75
Goa,13.33
Goa,12.28
Goa,4.9
Goa,3.16
Goa,12.31
Goa,25.2
Goa,16.22
Goa,10.92
Goa,4.31
Goa,4.76
Goa,11.76
Gujarat,4.09
Gujarat,6.31
Gujarat,5.15
Gujarat,4.2
Gujarat,5.96
Gujarat,5.45
Gujarat,7.53
Gujarat,5.71
Gujarat,5.82
Gujarat,6.04
Gujarat,5.39
Gujarat,25.94
Gujarat,11.62
Gujarat,4.54
Haryana,24.67
Haryana,20.42
Haryana,25.45
Haryana,24.19
Haryana,26.84
Haryana,21.04
Haryana,27.06
Haryana,23.65
Haryana,27.24
Haryana,23.29
Haryana,27.14
Haryana,46.89
Haryana,38.46
Haryana,29.41
Himachal Pradesh,10.88
Himachal Pradesh,21.43
Himachal Pradesh,21.51
Himachal Pradesh,24.48
Himachal Pradesh,12.0
Himachal Pradesh,23.77
Himachal Pradesh,27.27
Himachal Pradesh,25.32
Himachal Pradesh,18.15
Himachal Pradesh,27.31
Himachal Pradesh,26.44
Himachal Pradesh,2.7
Himachal Pradesh,50.0
Himachal Pradesh,10.81
Jammu & Kashmir,23.04
Jammu & Kashmir,19.88
Jammu & Kashmir,21.55
Jammu & Kashmir,24.06
Jammu & Kashmir,14.29
Jammu & Kashmir,7.02
Jammu & Kashmir,18.54
Jammu & Kashmir,19.86
Jammu & Kashmir,14.29
Jammu & Kashmir,12.96
Jharkhand,17.23
Jharkhand,20.51
Jharkhand,15.67
Jharkhand,20.25
Jharkhand,21.16
Jharkhand,19.05
Jharkhand,17.34
Jharkhand,22.01
Jharkhand,22.96
Jharkhand,19.67
Jharkhand,16.4
Jharkhand,61.48
Jharkhand,70.17
Jharkhand,19.38
Karnataka,6.56
Karnataka,5.0
Karnataka,2.29
Karnataka,1.27
Karnataka,3.57
Karnataka,3.87
Karnataka,3.44
Karnataka,1.56
Karnataka,3.31
Karnataka,2.88
Karnataka,4.92
Karnataka,25.12
Karnataka,15.88
Karnataka,6.12
Kerala,6.11
Kerala,6.67
Kerala,7.58
Kerala,7.69
Kerala,5.52
Kerala,5.35
Kerala,6.71
Kerala,7.31
Kerala,6.65
Kerala,6.08
Kerala,9.14
Kerala,21.43
Kerala,30.28
Kerala,12.17
Madhya Pradesh,3.91
Madhya Pradesh,6.38
Madhya Pradesh,7.38
Madhya Pradesh,6.82
Madhya Pradesh,7.0
Madhya Pradesh,4.4
Madhya Pradesh,6.06
Madhya Pradesh,6.2
Madhya Pradesh,5.17
Madhya Pradesh,4.96
Madhya Pradesh,4.8
Madhya Pradesh,11.94
Madhya Pradesh,40.49
Madhya Pradesh,12.72
Maharashtra,6.08
Maharashtra,6.46
Maharashtra,6.35
Maharashtra,7.57
Maharashtra,7.6
Maharashtra,7.51
Maharashtra,7.6
Maharashtra,7.83
Maharashtra,6.67
Maharashtra,5.34
Maharashtra,6.34
Maharashtra,14.99
Maharashtra,15.92
Maharashtra,10.01
Meghalaya,8.4
Meghalaya,8.66
Meghalaya,4.43
Meghalaya,5.8
Meghalaya,5.3
Meghalaya,7.2
Meghalaya,3.02
Meghalaya,5.21
Meghalaya,4.76
Meghalaya,7.37
Meghalaya,2.8
Meghalaya,17.39
Meghalaya,14.58
Odisha,2.95
Odisha,2.63
Odisha,1.78
Odisha,3.5
Odisha,3.78
Odisha,4.5
Odisha,2.23
Odisha,3.36
Odisha,2.28
Odisha,2.19
Odisha,3.96
Odisha,20.5
Odisha,10.0
Odisha,2.18
Puducherry,1.25
Puducherry,0.0
Puducherry,0.0
Puducherry,8.95
Puducherry,1.22
Puducherry,1.17
Puducherry,1.37
Puducherry,5.21
Puducherry,0.57
Puducherry,1.78
Puducherry,0.62
Puducherry,76.74
Puducherry,75.0
Puducherry,4.55
Punjab,13.49
Punjab,13.17
Punjab,11.61
Punjab,11.99
Punjab,15.69
Punjab,13.75
Punjab,10.39
Punjab,11.97
Punjab,13.68
Punjab,11.99
Punjab,9.97
Punjab,1.13
Punjab,20.54
Punjab,10.55
Rajasthan,13.62
Rajasthan,14.36
Rajasthan,11.67
Rajasthan,14.71
Rajasthan,12.63
Rajasthan,13.02
Rajasthan,14.3
Rajasthan,18.04
Rajasthan,18.82
Rajasthan,17.02
Rajasthan,18.54
Rajasthan,35.53
Rajasthan,25.35
Rajasthan,13.04
Sikkim,8.2
Sikkim,7.76
Sikkim,2.56
Sikkim,4.82
Sikkim,4.81
Sikkim,9.68
